city,city_ascii,region_id,lat,lng,population,density,id
South End,South End,MN,47.3231,-95.4788,66,14.2,1840140386
Cromwell,Cromwell,IA,41.0405,-94.4618,66,125.6,1840007158
Alix,Alix,AR,35.4219,-93.7289,66,61.9,1840027634
Holt,Holt,MN,48.2929,-96.1945,66,31.6,1840006599
Richland,Richland,NE,41.4367,-97.2152,66,100.1,1840011448
Harrisburg,Harrisburg,NE,41.5505,-103.7267,66,4.5,1840004835
Washington,Washington,VA,38.7122,-78.1598,66,153.4,1840006130
Windmill,Windmill,NM,31.9769,-108.6315,66,31.5,1840025104
Butte,Butte,ND,47.837,-100.6658,66,84,1840000110
Downey,Downey,IA,41.612,-91.3472,66,49.7,1840003340
Saxon,Saxon,WI,46.494,-90.4098,66,18.4,1840025273
Esbon,Esbon,KS,39.8219,-98.4339,66,61.5,1840008407
McGrew,McGrew,NE,41.7477,-103.4177,66,108.1,1840011394
Geyser,Geyser,MT,47.2633,-110.4927,66,33.8,1840026099
Rivervale,Rivervale,AR,35.6759,-90.3445,66,4.6,1840027779
Mountville,Mountville,SC,34.3664,-81.9758,66,10.1,1840013585
Homestead,Homestead,IA,41.7612,-91.8711,66,18.4,1840026254
Kingston,Kingston,NM,32.9173,-107.7097,66,7.7,1840025049
La Salle,La Salle,MN,44.0711,-94.5713,66,135.7,1840007923
Zalma,Zalma,MO,37.1422,-90.0825,66,123.7,1840013010
Isabella,Isabella,OK,36.2354,-98.3354,66,11.8,1840026929
